Title;Artists;Vibes;Cluster
FRANCHISE;Travis Scott, Young Thug;Hiphop;1
Link Up;Metro Boomin;Hiphop;1
Come Through and Chill;Miguel;Hiphop;1
Playing Games;Summer Walker;Hiphop;1
Controlla;Drake;Hiphop;1
The Best Part of Life;Saint Jhn;Hiphop;1
Show U Off ;Brent Faiyaz;Hiphop;1
Pink + White;Frank Ocean;Hiphop;1
Wild Thoughts;DJ Khaled;Hiphop;1
The Color Violet;Tory Lanez;Hiphop;1
Banking on me;gunna;Hiphop;1
On one tonight;gunna;Hiphop;1
Ladies, Ladies, Ladies;Dreamville, JID;Hiphop;1
Passionfruit;Drake;Hiphop;1
Shibuya;Ski Mask the slump god;Hiphop;1
Jiggin;NLE choppa;Hiphop;1
Fukumean;gunna;Hiphop;1
What the price;Migos;Hiphop;1
Too many nights;Future, Don Toliver;Hiphop;1
Ambeyonce;EARTHGANG;Hiphop;1
one of wun;gunna;Hiphop;1
Circadian rhythm;drake;Hiphop;1
Dollaz on my head;gunna;Hiphop;1
Solo;Future;Hiphop;1
Whatever she wants;Brynson Tiller;Hiphop;1
Best Friend;A boogie wit da Hoodie;Hiphop;1
Girls want girls;Drake, Lil Baby;Hiphop;1
10 F*cks;Tory Lanez;Hiphop;1
Twenty 8;Kodak black;Hiphop;1
Life is a Highway;Rascal Flatts;Country;2
Wanna Be That Song;Brett Eldredge;Country;2
Wagon Wheel;Darius Rucker;Country;2
Breathe;Faith Hill;Country;2
Cowboy Take Me Away;The Chicks;Country;2
Pink Skies;Zach Bryan;Country;2
Drink In My Hand;Eric Church;Country;2
Check Yes Or No;George Strait;Country;2
Gone Country;Alan Jackson;Country;2
Break Up In A Small Town;Sam Hunt;Country;2
Before He Cheats;Carrie Underwood;Country;2
Make You Miss Me;Sam Hunt;Country;2
Smile;Lonestar;Country;2
My Best Friend;Tim McGraw;Country;2
Before You Leave Me;Alex Warren;Country;2
Revival ;Zach Bryan;Country;2
Broken Window Serenade;Whiskey Myers;Country;2
Forever and Ever, Amen;Randy Travis;Country;2
Bad Dreams ;Teddy Swims;Country;2
Liar;Jelly Roll;Country;2
Do I;Luke Bryan;Country;2
Beautiful Stranger;Toby Keith;Country;2
Then;Brad Paisley;Country;2
Roller Coaster;Luke Bryan;Country;2
