Title;Artists;Vibes;Cluster
Angel Like You;Miley Cyrus;Sad;1
One Last Time;Ariana Grande;Sad;1
When I Was Your Man;Bruno Mars;Sad;1
The Scientist;Coldplay;Sad;1
Exile;Taylor Swift;Sad;1
Chamber of Reflection;Your Anxiety Buddy;Sad;1
My Love Mine All Mine;Mitski;Sad;1
Cry;Cigarettes after Sex;Sad;1
Cinnamon Girl;Lana Del Rey ;Sad;1
Romantic Homicide;d4vd;Sad;1
Beanie;Chezile;Sad;1
Happiness is a butterfly;Lana Del Rey ;Sad;1
Glimpse of Us;Joji;Sad;1
champagne problems;Taylor Swift;Sad;1
Say Something;A Great Big World, Christina Aguilera;Sad;1
I Know You;Faye Webster;Sad;1
Break My Heart Again;FINNEAS;Sad;1
The Night We Met;Lord Huron;Sad;1
Fix You;Coldplay;Sad;1
Here With Me;d4vd;Sad;1
Falling;Harry Styles;Sad;1
Sugar;Maroon 5;Bright;2
Price Tag;Jessie J;Bright;2
Shut Up and Dance;WALK THE MOON;Bright;2
Call Me Maybe;Carly Rae Jepsen;Bright;2
Shake It Off;Taylor Swift;Bright;2
Levitating;Dua Lipa, DaBaby;Bright;2
Sunroof;Nicky Youre;Bright;2
Good Time;Owl City, Carly Rae Jepsen;Bright;2
All About That Bass;Meghan Trainor;Bright;2
Shower;Becky G;Bright;2
I'm Yours;Jason Mraz;Bright;2
What Makes You Beautiful;One Direction;Bright;2
Marry You ;Bruno Mars;Bright;2
Taste;Sabrina Carpenter;Bright;2
Hey, Soul Sister;Train;Bright;2
Apple;Charli xcx;Bright;2
Watermelon Sugar;Harry Styles;Bright;2
Lush Life;Zara Larsson;Bright;2
Girlfriend;Avril Lavigne;Bright;2
I Ain't Worried ;OneRepublic;Bright;2
Cruel Summer;Taylor Swift;Bright;2
