Title;Artists;Vibes;Cluster
Baby Come Back;Player;Nostalgic;1
Stand By Me;Ben E. King;Nostalgic;1
Santeria;Sublime;Nostalgic;1
Jamming;Bob Marley;Nostalgic;1
Put Your Head On My Shoulder;Paul Anka;Nostalgic;1
Everybody Wants To Rule The World;Tears For Fears;Nostalgic;1
Linger;Theo Cranberries;Nostalgic;1
Hit the Road Jack;Ray Charles;Nostalgic;1
Iris;The Goo Goo Dolls;Nostalgic;1
Skinny Love;Bon Iver;Nostalgic;1
No gravity;Zedd, Bava;Electronics;2
Axel F;Crazy Frog;Electronics;2
Faded;Alan Walker;Electronics;2
Lean On;Major Lazer;Electronics;2
Closer;The Chainsmokers, Halsey;Electronics;2
This Is What You Came For;Calvin Harris, Rihanna;Electronics;2
Alone;Marshmello;Electronics;2
What Do You Mean?;Justin Bieber;Electronics;2
Titanium;David Guetta, Sia;Electronics;2
Animals ;Martin Garrix;Electronics;2
Summer;Calvin Harris;Electronics;2
Careless Whisper;George Michael;Nostalgic;1
Purple Rain;Prince;Nostalgic;1
Africa ;TOTO;Nostalgic;1
Can't Help Falling in Love;Elvis Presley;Nostalgic;1
Unchained Melody;The Righteous Brothers;Nostalgic;1
Everlasting Love;Carl Carlton;Nostalgic;1
It Never Rains in Southern California;Albert Hammond;Nostalgic;1
I Just Called To Say I Love You;Stevie Wonder;Nostalgic;1
Say You, Say Me;Lionel Richie;Nostalgic;1
I Want It That Way;Backstreet Boys;Nostalgic;1
Happier;Marshmello, Bastille;Electronics;2
Waiting For Love;Avicii;Electronics;2
Break Free;Ariana Grande;Electronics;2
We Found Love;Rihanna, Calvin Harris;Electronics;2
Scream & Shout;will.i.am, Britney Spears;Electronics;2
In the Name of Love;Martin Garrix, Bebe Rexha;Electronics;2
Where Have You Been;Rihanna;Electronics;2
Waves;Mr. Probz;Electronics;2
Sorry For Party Rocking;LMFAO;Electronics;2
Can't Get You out of My Head;Kylie Minogue;Electronics;2
